Nombre,Ubicacion,Salario,Modalidad,Idioma,Experiencia,Conocimientos,Url,Descripcion
Work From Home Frontend Developer,"Santo Domingo, Santo Domingo de los Tsachilas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Node.js, Backbone.js, AngularJS, Lean, Agile",None,None
Work From Home C++ Developer,"Santo Domingo, Santo Domingo de los Tsachilas",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: PostgreSQL, CSS, HTML, Java, JavaScript, Tecnologia de la informacion, AngularJS, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Senior .NET / I + D,"Santo Domingo, Santo Domingo de los Tsachilas",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Work From Home Junior Python Backend Developer / Research + Development,"Santo Domingo, Santo Domingo de los Tsachilas",None,Remoto,Idiomas: Ingles,1 ano de experiencia,"Conocimientos: Oracle, SQL Server, Python, Tecnologia de la informacion, Django, Node.js, Lean, MySql",None,None
Trabajo Desde Casa Desarrollador TypeScript,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, HTML, JavaScript, jQuery, Tecnologia de la informacion, Lean, Agile",None,None
Work From Home Senior Python Developer,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,1 ano de experiencia,"Conocimientos: Oracle, SQL Server, Python, Tecnologia de la informacion, Django, Node.js, Lean, MySql",None,None
Work From Home Ruby Junior Developer,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: CSS, HTML, JavaScript, Tecnologia de la informacion, Testeo, Ruby on Rails, AngularJS, Lean, Agile",None,None
Trabajo Desde Casa React Native Developer,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Ruby on Rails, Lean, Agile, HTML 5",None,None
Trabajo Desde Casa Desarrollador React Frontend,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Backbone.js, AngularJS, Lean, Agile, HTML 5",None,None
Trabajo Desde Casa Desarrollador Node Backend,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Kotlin,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Java, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador React Junior/MidLevel,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Backbone.js, AngularJS, Lean, Agile, HTML 5",None,None
Trabajo Desde Casa Desarrollador Node Junior/MidLevel,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Junior/MidLevel Java,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Java Junior,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador ETL,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: SQL Server, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador .NET Core,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: SQL Server, Dot Net, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Junior/MidLevel .NET / I + D,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Work From Home Junior Angular Developer / R+D,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: PostgreSQL, CSS, HTML, Java, JavaScript, Tecnologia de la informacion, AngularJS, Lean, Agile",None,None
Trabajo Desde Casa Node Developer,"Portoviejo, Manabi",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
